gene,metric,imaging,r_res,p_res,n,n_carriers_img,CGC,in_pathway,fdr_full,fdr_per_gene,fdr_per_gene_metric,fdr_best_per_gene,cohort
LRP1B,max_abs_dll,tumor_kidney_ratio,0.0179486713080838,0.8206581655627961,162,6,True,False,0.9336042569726968,0.8251817366502934,0.8206581655627961,,KIRC
XIRP2,min_dll,kits_tumor_necrotic_frac,-0.0178498457199973,0.8216291157977627,162,8,False,False,0.9339966786821042,0.9169145731727966,0.8216291157977627,,KIRC
XIRP2,top1_signed,kits_tumor_necrotic_frac,-0.0178498457199973,0.8216291157977627,162,8,False,False,0.9339966786821042,0.9169145731727966,0.8216291157977627,,KIRC
STAG2,n_mutations,kits_tumor_heterogeneity,-0.0177368916518795,0.8227392082384224,162,6,True,False,0.9349024361703931,0.8227392082384224,0.8227392082384224,,KIRC
KIAA1217,n_mutations,kits_tumor_necrotic_frac,0.0175801407716845,0.8242803099427645,162,5,False,False,0.9349219999396914,0.8296146979571795,0.8242803099427645,,KIRC
LRP1B,sum_abs_dll,tumor_kidney_ratio,0.0174884851620802,0.8251817366502934,162,6,True,False,0.9349219999396914,0.8251817366502934,0.8251817366502934,,KIRC
MTOR,sum_abs_dll,tumor_kidney_ratio,-0.0174628542075991,0.8254338562641806,162,9,True,True,0.9349219999396914,0.8550720400474409,0.8254338562641806,,KIRC
MTOR,top1_signed,tumor_kidney_ratio,0.0174628542075991,0.8254338562641806,162,9,True,True,0.9349219999396914,0.8550720400474409,0.8254338562641806,,KIRC
MTOR,max_abs_dll,tumor_kidney_ratio,-0.0174628542075991,0.8254338562641806,162,9,True,True,0.9349219999396914,0.8550720400474409,0.8254338562641806,,KIRC
MTOR,min_dll,tumor_kidney_ratio,0.0174628542075991,0.8254338562641806,162,9,True,True,0.9349219999396914,0.8550720400474409,0.8254338562641806,,KIRC
TRIOBP,top1_signed,tumor_kidney_ratio,-0.0174483810431406,0.8255762298395064,162,6,False,False,0.9349219999396914,0.8255762298395064,0.8255762298395064,,KIRC
TRIOBP,max_dll,tumor_kidney_ratio,-0.0174483810431406,0.8255762298395064,162,6,False,False,0.9349219999396914,0.8255762298395064,0.8255762298395064,,KIRC
TRIOBP,min_dll,tumor_kidney_ratio,-0.0174483810431406,0.8255762298395064,162,6,False,False,0.9349219999396914,0.8255762298395064,0.8255762298395064,,KIRC
ROCK1,n_mutations,kits_tumor_necrotic_frac,-0.0172334211837705,0.8276914721900732,162,5,False,True,0.9362973746990254,0.8276914721900732,0.8276914721900732,,KIRC
MTOR,mean_abs_dll,tumor_kidney_ratio,-0.0171664190460442,0.8283510387959583,162,9,True,True,0.9362973746990254,0.8550720400474409,0.8283510387959583,,KIRC
LRP1,n_mutations,tumor_kidney_ratio,0.0170791050609553,0.8292107343653325,162,6,False,False,0.9362973746990254,0.8292107343653325,0.8292107343653325,,KIRC
KIAA1217,max_abs_dll,kits_tumor_necrotic_frac,0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
KIAA1217,min_dll,kits_tumor_necrotic_frac,-0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
KIAA1217,top1_signed,kits_tumor_necrotic_frac,-0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
KIAA1217,mean_abs_dll,kits_tumor_necrotic_frac,0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
KIAA1217,max_dll,kits_tumor_necrotic_frac,-0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
KIAA1217,sum_abs_dll,kits_tumor_necrotic_frac,0.0170380840785476,0.8296146979571795,162,5,False,False,0.9362973746990254,0.8296146979571795,0.8296146979571795,,KIRC
MACF1,n_mutations,tumor_kidney_ratio,-0.0169294501855146,0.8306847105900619,162,7,False,False,0.937150539281945,0.8397345058477642,0.8306847105900619,,KIRC
ARID1A,n_mutations,tumor_kidney_ratio,0.0167487166879273,0.8324655719147023,162,5,True,False,0.9388047114865729,0.905838392191902,0.8324655719147023,,KIRC
RYR2,n_mutations,tumor_kidney_ratio,0.0165042174054433,0.8348761053165042,162,5,False,False,0.9411674719548352,0.8991052594654864,0.884672531873687,,KIRC
TTN,min_dll,kits_tumor_necrotic_frac,0.0162198024204982,0.8376821034495097,162,33,False,False,0.9428741468314632,0.8985683161888444,0.8376821034495097,,KIRC
MUC16,n_mutations,kits_tumor_heterogeneity,0.016194909449717,0.8379277918844064,162,16,False,False,0.9428741468314632,0.93235726982533,0.9480333537640324,,KIRC
LYST,n_mutations,kits_tumor_necrotic_frac,0.0161585737085273,0.8382864461742298,162,10,False,False,0.9428741468314632,0.9299201230823936,0.8382864461742298,,KIRC
AKAP9,n_mutations,tumor_kidney_ratio,-0.0161375136549417,0.8384943360386148,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9226680175834792,,KIRC
MACF1,sum_abs_dll,tumor_kidney_ratio,-0.0160119030646454,0.8397345058477642,162,7,False,False,0.9428741468314632,0.8397345058477642,0.8397345058477642,,KIRC
MACF1,max_abs_dll,tumor_kidney_ratio,-0.0160119030646454,0.8397345058477642,162,7,False,False,0.9428741468314632,0.8397345058477642,0.8397345058477642,,KIRC
MACF1,mean_abs_dll,tumor_kidney_ratio,-0.0160119030646454,0.8397345058477642,162,7,False,False,0.9428741468314632,0.8397345058477642,0.8397345058477642,,KIRC
LRP2,n_mutations,tumor_kidney_ratio,0.0159059760985539,0.840780643209119,162,7,False,False,0.9428741468314632,0.9334777798906896,0.8530129423489431,,KIRC
TTN,mean_abs_dll,kits_tumor_volume_ml,0.0157412741546164,0.8424077964270416,162,33,False,False,0.9428741468314632,0.8985683161888444,0.8424077964270416,,KIRC
AKAP9,max_dll,kits_tumor_necrotic_frac,-0.0157041718670589,0.8427744363212462,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9251461840155616,,KIRC
RYR2,top1_signed,tumor_kidney_ratio,-0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
RYR2,max_abs_dll,tumor_kidney_ratio,0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
RYR2,min_dll,tumor_kidney_ratio,-0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
RYR2,sum_abs_dll,tumor_kidney_ratio,0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
RYR2,mean_abs_dll,tumor_kidney_ratio,0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
RYR2,max_dll,tumor_kidney_ratio,-0.0156854998126313,0.8429589638674697,162,5,False,False,0.9428741468314632,0.8991052594654864,0.8991052594654864,,KIRC
AKAP9,min_dll,kits_tumor_necrotic_frac,-0.0156787628698807,0.8430255441509195,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9254860885672376,,KIRC
AKAP9,max_abs_dll,kits_tumor_necrotic_frac,0.0156787628698807,0.8430255441509195,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9254860885672376,,KIRC
AKAP9,mean_abs_dll,kits_tumor_necrotic_frac,0.0156787628698807,0.8430255441509195,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9254860885672376,,KIRC
AKAP9,top1_signed,kits_tumor_necrotic_frac,-0.0156787628698807,0.8430255441509195,162,7,False,False,0.9428741468314632,0.9553404785210194,0.9254860885672376,,KIRC
